Fri Apr 10 12:38:33 EDT 2020
/dev/sdb                  2086912    32992   2053920   2% /home/student/Desktop/sdb
/dev/sda1                  508588   285052    223536  57% /boot
tmpfs                      202796        4    202792   1% /run/user/42
tmpfs                      202796       48    202748   1% /run/user/1000
tmpfs                      202796        0    202796   0% /run/user/0
****************************************************************
Filesystem              1K-blocks     Used Available Use% Mounted on
devtmpfs                   997100        0    997100   0% /dev
tmpfs                     1013960    25472    988488   3% /dev/shm
tmpfs                     1013960    10784   1003176   2% /run
tmpfs                     1013960        0   1013960   0% /sys/fs/cgroup
/dev/mapper/centos-root  52403200 10193620  42209580  20% /
/dev/mapper/centos-home  49774852   164464  49610388   1% /home
/dev/sdb                  2086912    32992   2053920   2% /home/student/Desktop/sdb
/dev/sda1                  508588   285052    223536  57% /boot
tmpfs                      202796        4    202792   1% /run/user/42
tmpfs                      202796       48    202748   1% /run/user/1000
tmpfs                      202796        0    202796   0% /run/user/0
****************************************************************
Filesystem              1K-blocks     Used Available Use% Mounted on
devtmpfs                   997100        0    997100   0% /dev
tmpfs                     1013960    25472    988488   3% /dev/shm
tmpfs                     1013960    10784   1003176   2% /run
tmpfs                     1013960        0   1013960   0% /sys/fs/cgroup
/dev/mapper/centos-root  52403200 10193620  42209580  20% /
/dev/mapper/centos-home  49774852   164576  49610276   1% /home
/dev/sdb                  2086912    32992   2053920   2% /home/student/Desktop/sdb
/dev/sda1                  508588   285052    223536  57% /boot
tmpfs                      202796        4    202792   1% /run/user/42
tmpfs                      202796       48    202748   1% /run/user/1000
tmpfs                      202796        0    202796   0% /run/user/0
****************************************************************
Filesystem              1K-blocks     Used Available Use% Mounted on
devtmpfs                   997100        0    997100   0% /dev
tmpfs                     1013960    25472    988488   3% /dev/shm
tmpfs                     1013960    10784   1003176   2% /run
tmpfs                     1013960        0   1013960   0% /sys/fs/cgroup
/dev/mapper/centos-root  52403200 10192128  42211072  20% /
/dev/mapper/centos-home  49774852   164580  49610272   1% /home
/dev/sdb                  2086912    32992   2053920   2% /home/student/Desktop/sdb
/dev/sda1                  508588   285052    223536  57% /boot
tmpfs                      202796        4    202792   1% /run/user/42
tmpfs                      202796       48    202748   1% /run/user/1000
tmpfs                      202796        0    202796   0% /run/user/0
****************************************************************
Filesystem              1K-blocks     Used Available Use% Mounted on
devtmpfs                   997100        0    997100   0% /dev
tmpfs                     1013960    25472    988488   3% /dev/shm
tmpfs                     1013960    10784   1003176   2% /run
tmpfs                     1013960        0   1013960   0% /sys/fs/cgroup
/dev/mapper/centos-root  52403200 10192128  42211072  20% /
/dev/mapper/centos-home  49774852   164588  49610264   1% /home
/dev/sdb                  2086912    32992   2053920   2% /home/student/Desktop/sdb
/dev/sda1                  508588   285052    223536  57% /boot
tmpfs                      202796        4    202792   1% /run/user/42
tmpfs                      202796       48    202748   1% /run/user/1000
tmpfs                      202796        0    202796   0% /run/user/0
****************************************************************
Filesystem              1K-blocks     Used Available Use% Mounted on
devtmpfs                   997100        0    997100   0% /dev
tmpfs                     1013960    25472    988488   3% /dev/shm
tmpfs                     1013960    10784   1003176   2% /run
tmpfs                     1013960        0   1013960   0% /sys/fs/cgroup
/dev/mapper/centos-root  52403200 10192148  42211052  20% /
/dev/mapper/centos-home  49774852   164568  49610284   1% /home
/dev/sdb                  2086912    32992   2053920   2% /home/student/Desktop/sdb
/dev/sda1                  508588   285052    223536  57% /boot
tmpfs                      202796        4    202792   1% /run/user/42
tmpfs                      202796       48    202748   1% /run/user/1000
tmpfs                      202796        0    202796   0% /run/user/0
****************************************************************
Filesystem              1K-blocks     Used Available Use% Mounted on
devtmpfs                   997100        0    997100   0% /dev
tmpfs                     1013960    25472    988488   3% /dev/shm
tmpfs                     1013960    10784   1003176   2% /run
tmpfs                     1013960        0   1013960   0% /sys/fs/cgroup
/dev/mapper/centos-root  52403200 10192128  42211072  20% /
/dev/mapper/centos-home  49774852   164568  49610284   1% /home
/dev/sdb                  2086912    32992   2053920   2% /home/student/Desktop/sdb
/dev/sda1                  508588   285052    223536  57% /boot
tmpfs                      202796        4    202792   1% /run/user/42
tmpfs                      202796       48    202748   1% /run/user/1000
tmpfs                      202796        0    202796   0% /run/user/0
****************************************************************
Filesystem              1K-blocks     Used Available Use% Mounted on
devtmpfs                   997100        0    997100   0% /dev
tmpfs                     1013960    25472    988488   3% /dev/shm
tmpfs                     1013960    10784   1003176   2% /run
tmpfs                     1013960        0   1013960   0% /sys/fs/cgroup
/dev/mapper/centos-root  52403200 10192128  42211072  20% /
/dev/mapper/centos-home  49774852   164568  49610284   1% /home
/dev/sdb                  2086912    32992   2053920   2% /home/student/Desktop/sdb
/dev/sda1                  508588   285052    223536  57% /boot
tmpfs                      202796        4    202792   1% /run/user/42
tmpfs                      202796       48    202748   1% /run/user/1000
tmpfs                      202796        0    202796   0% /run/user/0
****************************************************************
Filesystem              1K-blocks     Used Available Use% Mounted on
devtmpfs                   997100        0    997100   0% /dev
tmpfs                     1013960    25472    988488   3% /dev/shm
tmpfs                     1013960    10784   1003176   2% /run
tmpfs                     1013960        0   1013960   0% /sys/fs/cgroup
/dev/mapper/centos-root  52403200 10192644  42210556  20% /
/dev/mapper/centos-home  49774852   164596  49610256   1% /home
